Unique_ID,season,team_id,Team,player_id_copy_backup,Defender Name,Total Tackles,Successful Tackles,Defender Success rate,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,team,player-id,player-id-clean,Raider Name,Total Raids,Successful Raids,Raider Success Rate,player_id,player_id_clean,player_name,player_matches_played,player_position_id,player_position_name,player_team_name,team_full_name,player-super-tackles_rank,player-raid-points_rank,player-super-raids_rank,player-high-5s_rank,player-tackle-points_rank,player-avg-tackle-points_rank,player-dod-raid-points_rank,player-total-points_rank,player-successful-tackles_rank,player-successful-raids_rank,super-10s_rank,player-super-tackles_value,player-raid-points_value,player-super-raids_value,player-high-5s_value,player-tackle-points_value,player-avg-tackle-points_value,player-dod-raid-points_value,player-total-points_value,player-successful-tackles_value,player-successful-raids_value,super-10s_value,player-super-tackles_points_per_match,player-raid-points_points_per_match,player-super-raids_points_per_match,high-5s_points_per_match,player-tackle-points_points_per_match,player-dod-raid-points_points_per_match,player-total-points_points_per_match,player-successful-tackles_points_per_match,player-successful-raids_points_per_match,super-10s_points_per_match,Season_Number,Team Name,team-id,player-id-pkdc-sanitised,Number of Defenders,Percentage of Raids,Empty Raids Percentage,Successful Raids Percentage,Season_Lookup,Season,season_num,player_id_notclean,Player Name,Position,Total Played,Total Starts,Tackle Type,Skill Type,Skill Name,Bengal Warriors (4),Bengaluru Bulls (1),Dabang Delhi (2),Gujarat Giants (31),Haryana Steelers (28),Jaipur Pink Panthers (3),Patna Pirates (6),Puneri Paltan (7),Tamil Thalaivas (29),Telugu Titans (8),U Mumba (5),U.P. Yoddha (30),team_name,matches_played,team-average-raid-points_rank,team-avg-points-scored_rank,team-all-outs-conceded_rank,team-successful-tackle-percent_rank,team-super-raid_rank,team-raid_rank,team-successful-raid-percent_rank,team-dod-raid-points_rank,team-super-tackles_rank,team-raid-points_rank,team-successful-raids_rank,team-total-points-conceded_rank,team-tackle-points_rank,team-total-points_rank,team-successful-tackles-per-match_rank,team-all-outs-inflicted_rank,team-average-tackle-points_rank,team-successful-tackles_rank,team-all-outs-conceded_value,team-successful-tackle-percent_value,team-super-raid_value,team-raid_value,team-successful-raid-percent_value,team-dod-raid-points_value,team-super-tackles_value,Total_touch_points_value,Total_bonus_points_value,team-raid-points_value,team-successful-raids_value,team-total-points-conceded_value,team-tackle-points_value,team-total-points_value,team-successful-tackles_value,team-successful-tackles-per-match_value,team-all-outs-inflicted_value,team-average-raid-points_value,team-avg-points-scored_value,team-average-tackle-points_value,team-all-outs-conceded_per-match,team-super-raid_per-match,team-raid_per-match,team-dod-raid-points_per-match,team-super-tackles_per-match,team-total-touch-points-ext_per-match,team-total-bonus--points-ext_per-match,team-raid-points_per-match,team-successful-raids_per-match,team-total-points-conceded_per-match,team-tackle-points_per-match,team-total-points_per-match,team-all-outs-inflicted_per-match,team-successful-tackles_per-match
team_id_4|5|Deepak Narwal,5,4.0,Bengal Warriors,211,Deepak Narwal,9.0,2.0,22%,,Vikash ,741.0,,,,,U.P. Yoddha,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
team_id_4|5|Kuldeep,5,4.0,Bengal Warriors,392,Kuldeep,4.0,2.0,50%,,Shashank Wankhede,279.0,,,,,Gujarat Giants,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
team_id_4|5|Bhupender Singh,5,4.0,Bengal Warriors,34,Bhupender Singh,4.0,0.0,0%,,Young Chang Ko,519.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
team_id_4|5|Sandeep Malik,5,4.0,Bengal Warriors,,Sandeep Malik,3.0,0.0,0%,,Ravindra Kumavat,3094.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
team_id_1|5|Mahender Singh,5,1.0,Bengaluru Bulls,769,Mahender Singh,112.0,56.0,50%,,Kuldeep,392.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
team_id_1|5|Ravinder Pahal,5,1.0,Bengaluru Bulls,157,Ravinder Pahal,105.0,49.0,47%,,Anil Kumar,765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
team_id_1|5|Kuldeep Singh,5,1.0,Bengaluru Bulls,61,Kuldeep Singh,62.0,30.0,48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
team_id_1|5|Ashish Kumar,5,1.0,Bengaluru Bulls,,Ashish Kumar,40.0,13.0,33%,,Rohit Kumar,326.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
team_id_1|5|Sunil Jaipal,5,1.0,Bengaluru Bulls,141,Sunil Jaipal,27.0,12.0,44%,,Ajay Kumar,389.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
team_id_1|5|Rohit Kumar,5,1.0,Bengaluru Bulls,326,Rohit Kumar,23.0,11.0,48%,,Mahender Singh,769.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
