id,result,date,teama_id,teama_short_name,teama_score,teamb_id,teamb_short_name,teamb_score,post_match_position,match_result,team_id
632,W,10/10/18,29,CHE,37,1,BLR,48,,Bengaluru Bulls Won by 11 Pts,1
644,W,17/10/18,1,BLR,44,29,CHE,35,,Bengaluru Bulls Won by 9 Pts,1
653,L,21/10/18,7,PUNE,27,1,BLR,25,,Puneri Paltan Won by 2 Pts,1
656,W,24/10/18,1,BLR,42,28,HAR,34,,Bengaluru Bulls Won by 8 Pts,1
667,W,31/10/18,6,PAT,41,1,BLR,43,,Bengaluru Bulls Won by 2 Pts,1
672,W,03/11/18,30,UP,29,1,BLR,35,,Bengaluru Bulls Won by 6 Pts,1
679,W,08/11/18,30,UP,27,1,BLR,37,,Bengaluru Bulls Won by 10 Pts,1
688,L,14/11/18,5,MUM,32,1,BLR,29,,U Mumba Won by 3 Pts,1
694,,17/11/18,31,GUJ,30,1,BLR,30,,,1
695,W,18/11/18,3,JAI,32,1,BLR,45,,Bengaluru Bulls Won by 13 Pts,1
702,L,23/11/18,1,BLR,31,4,KOL,33,,Bengal Warriorz Won by 2 Pts,1
705,W,24/11/18,1,BLR,36,29,CHE,22,,Bengaluru Bulls Won by 14 Pts,1
706,L,25/11/18,1,BLR,32,6,PAT,35,,Patna Pirates Won by 3 Pts,1
635,W,26/11/18,1,BLR,37,30,UP,27,,Bengaluru Bulls Won by 10 Pts,1
710,W,28/11/18,1,BLR,34,8,HYD,26,,Bengaluru Bulls Won by 8 Pts,1
712,L,29/11/18,1,BLR,37,4,KOL,44,,Bengal Warriorz Won by 7 Pts,1
721,L,05/12/18,2,DEL,32,1,BLR,31,,Dabang Delhi K.C. Won by 1 Pts,1
733,W,12/12/18,8,HYD,24,1,BLR,37,,Bengaluru Bulls Won by 13 Pts,1
741,W,18/12/18,1,BLR,44,8,HYD,28,,Bengaluru Bulls Won by 16 Pts,1
743,,19/12/18,6,PAT,40,1,BLR,40,,,1
754,L,26/12/18,4,KOL,37,1,BLR,31,,Bengal Warriorz Won by 6 Pts,1
755,W,27/12/18,3,JAI,32,1,BLR,40,,Bengaluru Bulls Won by 8 Pts,1
759,W,31/12/18,31,GUJ,29,1,BLR,41,,Bengaluru Bulls Won by 12 Pts,1
762,W,05/01/19,1,BLR,38,31,GUJ,33,,Bengaluru Bulls Won by 5 Pts,1
634,W,11/10/18,29,CHE,27,4,KOL,36,,Bengal Warriorz Won by 9 Pts,4
642,W,16/10/18,4,KOL,30,8,HYD,25,,Bengal Warriorz Won by 5 Pts,4
650,,20/10/18,30,UP,40,4,KOL,40,,,4
652,L,21/10/18,2,DEL,39,4,KOL,30,,Dabang Delhi K.C. Won by 9 Pts,4
660,W,27/10/18,3,JAI,28,4,KOL,39,,Bengal Warriorz Won by 11 Pts,4
668,L,01/11/18,6,PAT,29,4,KOL,27,,Patna Pirates Won by 2 Pts,4
674,,04/11/18,30,UP,30,4,KOL,30,,,4
681,W,09/11/18,4,KOL,30,8,HYD,25,,Bengal Warriorz Won by 5 Pts,4
682,L,10/11/18,6,PAT,50,4,KOL,30,,Patna Pirates Won by 20 Pts,4
691,L,16/11/18,31,GUJ,35,4,KOL,23,,Gujarat Giants Won by 12 Pts,4
693,W,17/11/18,7,PUNE,22,4,KOL,26,,Bengal Warriorz Won by 4 Pts,4
702,W,23/11/18,1,BLR,31,4,KOL,33,,Bengal Warriorz Won by 2 Pts,4
712,W,29/11/18,1,BLR,37,4,KOL,44,,Bengal Warriorz Won by 7 Pts,4
720,L,05/12/18,28,HAR,35,4,KOL,33,,Haryana Steelers Won by 2 Pts,4
