id,result,prev_position,date,teama_id,teama_short_name,teama_score,teamb_id,teamb_short_name,teamb_score,post_match_position,match_result,team_id
401,W,,01/03/14,3,JAI,19,5,MUM,9,,Jaipur Pink Panthers Won by 10 Pts,3
402,L,,17/03/14,3,JAI,17,6,PAT,28,,Patna Pirates Won by 11 Pts,3
405,L,,26/07/14,5,MUM,21,3,JAI,9,,U Mumba Won by 12 Pts,3
413,W,,31/07/14,3,JAI,25,8,HYD,14,,Jaipur Pink Panthers Won by 11 Pts,3
418,W,,02/08/14,6,PAT,9,3,JAI,24,,Jaipur Pink Panthers Won by 15 Pts,3
424,L,,05/08/14,2,DEL,15,3,JAI,22,, Won,3
429,W,,09/08/14,8,HYD,13,3,JAI,27,,Jaipur Pink Panthers Won by 14 Pts,3
431,W,,10/08/14,3,JAI,22,4,KOL,9,,Jaipur Pink Panthers Won by 13 Pts,3
436,W,,14/08/14,7,PUNE,10,3,JAI,25,,Jaipur Pink Panthers Won by 15 Pts,3
441,W,,16/08/14,4,KOL,17,3,JAI,21,,Jaipur Pink Panthers Won by 4 Pts,3
446,W,,20/08/14,3,JAI,18,1,BLR,17,,Jaipur Pink Panthers Won by 1 Pts,3
447,,,21/08/14,3,JAI,13,5,MUM,15,,,3
450,W,,22/08/14,3,JAI,20,2,DEL,16,,Jaipur Pink Panthers Won by 4 Pts,3
452,W,,23/08/14,3,JAI,18,7,PUNE,15,,Jaipur Pink Panthers Won by 3 Pts,3
458,L,,27/08/14,1,BLR,12,3,JAI,14,,Bengaluru Bulls Won by -2 Pts,3
460,W,,29/08/14,3,JAI,22,6,PAT,9,,Jaipur Pink Panthers Won by 13 Pts,3
401,L,,01/03/14,3,JAI,19,5,MUM,9,,Jaipur Pink Panthers Won by 10 Pts,5
404,W,,02/07/14,4,KOL,11,5,MUM,13,,U Mumba Won by 2 Pts,5
405,W,,26/07/14,5,MUM,21,3,JAI,9,,U Mumba Won by 12 Pts,5
408,W,,27/07/14,5,MUM,18,4,KOL,10,,U Mumba Won by 8 Pts,5
410,,,28/07/14,5,MUM,25,8,HYD,13,,,5
411,W,,29/07/14,5,MUM,18,6,PAT,18,,U Mumba Won by 0 Pts,5
421,W,,04/08/14,5,MUM,24,7,PUNE,14,,U Mumba Won by 10 Pts,5
423,W,,05/08/14,1,BLR,24,5,MUM,23,,U Mumba Won by -1 Pts,5
427,,,08/08/14,6,PAT,20,5,MUM,21,,,5
434,L,,13/08/14,5,MUM,16,1,BLR,12,,Bengaluru Bulls Won by -4 Pts,5
438,L,,15/08/14,2,DEL,16,5,MUM,12,,Dabang Delhi K.C. Won by 4 Pts,5
442,L,,17/08/14,8,HYD,15,5,MUM,23,,Telugu Titans Won by -8 Pts,5
447,,,21/08/14,3,JAI,13,5,MUM,15,,,5
453,W,,24/08/14,5,MUM,24,2,DEL,17,,U Mumba Won by 7 Pts,5
457,W,,27/08/14,7,PUNE,22,5,MUM,21,,U Mumba Won by -1 Pts,5
459,W,,29/08/14,5,MUM,21,1,BLR,12,,U Mumba Won by 9 Pts,5
403,L,,25/03/14,1,BLR,14,6,PAT,19,,Patna Pirates Won by 5 Pts,1
406,W,,26/07/14,2,DEL,20,1,BLR,25,,Bengaluru Bulls Won by 5 Pts,1
407,W,,27/07/14,1,BLR,24,7,PUNE,23,,Bengaluru Bulls Won by 1 Pts,1
412,W,,30/07/14,4,KOL,19,1,BLR,22,,Bengaluru Bulls Won by 3 Pts,1
415,L,,31/07/14,6,PAT,20,1,BLR,15,,Patna Pirates Won by 5 Pts,1
420,L,,03/08/14,7,PUNE,20,1,BLR,13,,Puneri Paltan Won by 7 Pts,1
423,L,,05/08/14,1,BLR,24,5,MUM,23,,U Mumba Won by -1 Pts,1
432,W,,10/08/14,6,PAT,19,1,BLR,13,,Bengaluru Bulls Won by -6 Pts,1
434,W,,13/08/14,5,MUM,16,1,BLR,12,,Bengaluru Bulls Won by -4 Pts,1
437,L,,14/08/14,1,BLR,15,2,DEL,17,,Dabang Delhi K.C. Won by 2 Pts,1
